#,Topic,Title,Context,Challenge,Potential Solution(s),Needed Resources,"Submissions by public entities, Universities and hospitals"
1,Art & Culture,The Digital Stage,"Online Rehearsals and Performances by Music and Theatre Groups, without the need to meet on a real stage","Low-Latency and Central Mixdown / Greenscreen Video Conference Tool, designed for Artistic Needs & Applications",This is Project No 265 of the German wirvsvirushackathon.org ( digital-stage.net ),All kinds of support,
149,Protection of Risk Groups,Accounting for Risk Factors,,"What influence do different risk factors such as age, hypertension, cardiovascular disease or diabetes have on the course and mortality of COVID-19 cases (keyword: attributable risk, multivariate analyses, confounding)?",,,"This challenge has been submitted by the Federal Office of Public Health. Due to the current crisis, they will not be able to provide additional support to the teams throughout the Hackathon. Nevertheless, they are looking forward to seeing the results after the weekend!"
150,Protection of Risk Groups,Chilometrozero Km0,"Several vulnerable population groups are not allowed to go shopping (e.g.: major 65; people in quarantine, etc.). At the same time, small local producers do not have an eCommerce system (lack of skills and resources).","Development of a free online service to facilitate those who need: 
- Shopping from home 
- Receive groceries/goods at home","Currently the website https://www.chilometrozero.ch/ has been created to connect local producers (sellers) and consumers with a particular attention to the local products (focus: City of Lugano).
However, the website can be integrated/redesigned with new ideas, features, contents, together with a review of the user experience.","We have already a list of local producers (focus: City of Lugano). 
A website: https://www.chilometrozero.ch/ 
Best practice: https://belocalhero.com/de/intro ",
151,Protection of Risk Groups,Alternatives to large online suppliers,The supply of food for risk groups only works thanks to volunteers. Every person affected has to organise himself and decide where to find help and whether it is serious or not.,"If the freedom of movement is further restricted and this help is no longer available, there are no alternatives. The large online retailers are completely overwhelmed, cannot be reached for days and, in addition, have no delivery dates open for more than 2 weeks.",,,
152,Protection of Risk Groups,First line of support for the health infrastructure,"Many concerned citizens seem to be seeking medical attention without necessarily being at risk and by doing so they’re diverting scarce ressources (capacity, time, energy) from where it‘s urgently needed. ",How can we build a „first line of support“ for those concerned individuals in order to help unburden physicians and health care infrastructures? ,Automated Questionnaires? Hotlines? Dedicated support groups?,"Medical experts, trained personnel (i.e. Telmed), communications experts",
153,Protection of Risk Groups,Touchless Supermarkets,"In supermarkets many people have to touch cards. If you go in a supermarket e.g. in Basel today, you are requested to take a physical card with a number on it. This card is given back when you leave the store. The next customer takes another free card, the cards are shared. This process was recently improved that at least the security cleans the cards - but still no cards, less risk","Users shall check-in when entering a supermarket and check-out when exiting, without touching any physical card in order to limit the amount of concurrent persons in shops. Not having to touch physical number cards to control the flow of people in a supermarket when you have a smartphone.","Several solutions have been suggested:
- ""2 barcodes for each supermarket: Supermarket_ID_IN and Supermarket_ID_OUT.
- One user APP which scans the barcodes. One Supermarket APP which can provide the real-time count of people inside, stats, blocking acceptance of new people if threshold-limit has been reached, signaling when allowance is available again. Registration/deregistration is totally. anonymous (HASH of MAC addr)."" Online Queueing System with QR-Code integration + 2 displays at the entry, that's it","Different resources have been requested:
- Need for 1-2 APP coders for iOS and Android platform + 1 BackEnd programmer. I can offer project architecture, mgmt and DB design.
- Angular-Developer and Web-Developer, Cookie-Expert",
154,Protection of Risk Groups,Flatten the Grocery Peak,"People are visiting shops at unpredictable times. Peeks should be avoided. Only a limited amount of people are allowed inside supermarkets, leading to queus resulting in inconvenience and further infection risk. ",Manage number of visitors over time. Avoid peeks and queues.,"Different solutions have been suggested:
- Similar approach as the traffic jam function with google maps: Give people the means to decide in advance to which supermarket (with immediate capacity) to go to.
- To each store (visible in e.g. google) a queuing mechanism can be ""added"" by the store itself. Visitors can plan their visit via an App. Input factors: Max visitors at same time, type of visitor (working, retired..), est. slot needed, favorite time of visit. A slot is proposed by App.
- Development of a mobile app capable of displaying the capacity of each location in real time and showing relevant news.","Different resources have been requested:
- App coding ability would be needed",
155,Protection of Risk Groups,Shopping coridoor for Risk Groups,"The majority of the people are going directly to the supermarket to buy food rather than ordering on-line, which lately is almost impossible. Among these people, there are many belonging to the Risk Group (65+ or with some chronic illness). They are exposed to a higher risk of catching the virus by sharing the same space with all other people. The same situation is valid when they have to go to the pharmacy.",Avoid mixing up people from the Risk Group with all other people.,"Reserve a time slot in the supermarkets and in the pharmacies, e.g. from 9 to 11 from Monday to Friday, only for people from the Risk Group to go shopping. All other people can go shopping outside this time slot.","No technology is needed, but a social tolerance and agreement with the supermarket chains like Coop, Migros, Manor and the pharmacies. Once agreed, it should be communicated on TV, Radio, Social Media and put into practice.
What is needed are contacts in these organisations to discuss the feasibility in implementing of such preventive measure.",
156,Protection of Risk Groups,Anticip'action,With the coronavirus unnecessary and unwanted treatment should be avoided. A therapeutic withdrawal is a difficult decision to make but can be facilitated by knowing patient's priorities and by knowing who to contact. This is why advanced directives are crucial,"We will help high-risk population to think about their advance directives before it is too late. This requires to reflect on one’s end of life, clarify values and priorities, choose a legal representative and decide to what medical interventions we consent","Anticip'action: a smartphone game to play with a loved one or caregiver. It will consist of two parts 1) anticipating, setting priorities and objectives of care 2) planning actions in line with these objectives (ask someone to become a legal representative)","We need computer developers, graphic designers and translators (from french to german and from french to italian)",
157,Protection of Risk Groups,Corona Reduit - Voluntary risk group isolation in hotels of the beautiful Swiss Alps,Risk groups need special protection. It is very difficult to isolate high risk persons in major agglomerations with high population density. There are about 40000 empty hotel beds in the remote Alpine villages due to the shutdown.,Helping risk persons to voluntarily isolate in dignity and supporting the suffering hotel and tourism industry of the Alps while doing it. Also enabling low risks persons to be less constrained.,"There are about 40000 empty hotel beds in the remote villages of the alps. Let's turn them into ""corona reduits"", ie voluntary refuges for high risk people. Risk of infection is much lower in rural areas and isolation/hygiene may be controlled more efficiently.","Publicity, health care and hygiene advice, IT based coordination, support from local governments (isolation control), the hotel and tourism industry, test kits to make sure no infected person participates. transport of risk people, financing from the federal government.",
158,Support & Solidarity,Promoting collaboration between expats and locals in the Basel region,"There are 50,000+ expats living and working in the region. Many have stayed because this is their home and they are continuing to work to support the economy. Founded as a Verein in 2011, BaselConnect specializes in supporting this community.","Through various established communication channels such as their website and social media, BaselConnect regularly engages the expat community by sharing activities and information that promotes collaboration in the region. This is even more important during this time of crisis.","Leveraging our available communication channels and resources, we can extend the reach of support to the expat community during this pandemic. By providing accurate and engaging content that will help the community better understand and cope with current events.","We have the channels of communication available and the experience to reach out to the expat community. We are looking for content creators, web publishers, communication professionals, translators (German to English) and locals interested in collaboration with expats.",
159,Support & Solidarity,Help for the homeless,"Shelters for homeless people radically reduced capacity due to social distancing. Already normally too few spaces, now >50% less.","A lot of homeless people cannot find a place for the night. There is a run on free spaces. Normally they given out daily, now in longer periods eg. 1 week to prevent corona from spreading. Loads of people have to find solutions on their own and remain outside. How can we help this?","People can provide garden huts, camping vans, containers, pensions ... ? But tricky to avoid that the homeless might get too comfortable and stay.",Lists of alternatives (should also be available offline. But most homeless people do not have smartphones with internet access) ,
160,Support & Solidarity,Deployment of volunteers,"There is a huge demand for additional social volunteer services in the present Coronavirus Crisis, particularöy for aged and vulnerable people","Most of trained volunteers are themselves part of the Risk Group ( > 65 years old) and can therefore not be deployed for many of the ""front"" activities (eg Autofahrdienste, shopping, visiting lonely people…). How can we increase the number of younger volunteers ?",,,
161,Support & Solidarity,Solidarity with refugees,Refugees live in so called emergency accommodations (Notunterkünfte) with many people in the same room and terrible hygienic conditions here in switzerland. They have a high risk to get infected with corona. Besides that their mental health condtions during these times are even more at stake because german courses (e.g. at ASZ Zurich) and sport activities outside the possibilities are not visitable.,"We should improve the conditions of the refugees in these emergency facilities especially during the corona crisis. Many people think about the risk groups who live among us in our society and are not seperated from us. That is needed, but we also need to think of the refugees! ","1.To try to improve their actual living situation. There are a lot of free hotel rooms during this crisis. And I think possibly some hotel owners would offer the refugees their rooms. This might be difficult due to the law situation. Twice a day the refugees have to subscribe themselves on a list in their accommodation to get their daily money (8.50 CHF). But may be there is a way of negotiating with the firm who is in charge of the accommodations (in canton Zurich: ORS Service AG) or even the state secretary for migration (SEM). 
I contacted a lawyer known in migration law about the possibilities one might have.
2. Setting up a platform where refugees can share their concerns with the general public and by that making more people aware of their situation during this crisis. I think many more people would be interested in their situation during these times. This could raise the pressure for government officials to provide them better accommodations. 

About the general situation of the refugees in the emergency accommodations: https://wo-unrecht-zu-recht-wird.ch/de/Hintergrund/Nothilfe---Hintergrund
https://www.woz.ch/-784c

Thesituation of the hotels: https://www.aargauerzeitung.ch/schweiz/schweizer-hotels-in-der-corona-krise-die-zimmer-sind-zu-im-tourismusland-137174953",Someone who can fastly setup a website where refugees could post commentaries about their situation; Anyone who is interested to help them and has some ideas what else to do to improve their situations,
162,Support & Solidarity,Platform for Solidarity ,"We should have a simple way to connect with each other to request and offer our own skills, goods and services locally. Businesses or people, we all need help and we all can provide it through a local exchange. Seniors and other at-risk populations living at home need help, especially now that they are often alone and confined to their homes. But there are already too many services offering help/volunteering. ","How can we connect volunteers with people who need help (elders, disadvantaged, businesses, farmers, etc.)? How can we merge the already existing platforms or make them better? ","Several potential solutions have been suggested:
- Map adresses of volunteers and people in need on a map in order to solve the trust and communication gap between the risk groups and the people who could potentially support them. Our operations should be automated and an online passport validation solution integrated to remediate trust issues.
- One GoTo point could help get an overview so that everybody who wants to help can help and who need help get help. Participation / community platform with voting features to display and prioritize people's needs and provide solutions as well as tips and tricks and ideas
- Collect people's needs (e.g. physiological, mental, social, information, economical, etc.) to provide customer oriented solutions and offerings. 
- Merge existing platforms.
- Develop a new tool to allocate competencies / resources within a dynamic group of agents and beyond. The Beta version is live already (https://helpwithcovid.opendata.ch). The mother site helpwithcovid.com is live and successfully solves the problem for the US. Let's build upon what we have and launch the project in Switzerland! ","Different resources have been requested:
- We have a programmer and a list of service providers already, but we need a graphic designer and help with communication. 
- Software engineering (Ruby) to build out features.
- Community Managers to moderate and curate the community
- Marketers/PR specialists to help the project grow
- webdevelopper, appdevelopper, project mananager, graphics designers and front end developers (ReactJs), backend developers (AWS, NodeJs), communication guru, social media devil","Repeated submission by: City of Lucerne, Hôpitaux universitaires de Genève (HUG)"
163,Support & Solidarity,Solidarity even after the crisis,The company receives many instructions during the crisis (top-down).,"After the corona crisis, how does society manage to continue to behave in solidarity and in a friendly manner with each other via bottom-up approaches and not just on command or top-down? ","It would be desirable for society not only to identify itself through materialistic values and surrender to a superficial world, but to reflect on its values and cohesion - as in the current times of crisis.",,
164,Support & Solidarity,Solidarity action for Swiss SME's and highly stressed workers due to the corona crisis.,"The corona crisis has resulted in the majority of businesses being on forced vacation since Tuesday. Despite the measures taken by the Confederation and the cantons, the existence of many small and micro-enterprises as well as individual businesses is acutely threatened. While the shops are desperately looking for work, other groups of people are in constant employment (e.g. people working in sales or logistics, or in the health sector). In times of coronavirus, these professional groups should be able to count on the solidarity and support of the Swiss population.",Highly stressed groups of people (people at the front) with little time // Local shops with slump in sales.,"Objective: To professionalize support for particularly stressed groups of people during the period of Corona and at the same time to offer added value to companies that have been shaken by the crisis On one platform, Swiss citizens can select and pay for goods and services. These goods are then donated to particularly stressed groups of people and their relatives. The goods and services are supplied directly by local businesses.  

landing page: (first idea) can be found on www.powerpandas.ch.
",Developers / contacts / ideas further refined,
165,Support & Solidarity,The Selfish Hamster,"People (called 'selfish hamster') are stockpiling toilet paper, food, base nutrition for a ""lock-down"" for a few weeks. ","This spiral and hype is neither sustainable, nor fair and we produce too much waste in the next months. How can we address this?","Let the user enter his ""emergency stock"" and show excessive behavior in a funny way🚽. And propose locations, non-profit organizations to donate your stockpiling to. ","But we need non-profits, organizations, couriers who can transport (e.g. Swiss Post, SBB) or deliver nutrition. Farmer who are not able to distribute their goods should be able to onboard. 
Teach - Skills complete",
166,Support & Solidarity,CoVid-DeMystifier: digital legal advice,"Due to the coronavirus pandemic, there is currently a great deal of uncertainty in the company regarding legal issues relating to short-time work, extraordinary terminations, childcare and daycare centres, cancellations and reimbursement of travel, holiday and overtime payments forced by the employer, issues relating to tenancy law, and much more.",Common legal questions should be answered quickly and easily. ,"Several solutions have been suggested:
- The aim of this hack is to create a chat bot that can answer legal questions in the aforementioned context or refer to corresponding further information so that the company can be helped easily, quickly and around the clock.
- On JUSTUS, lawyers, solicitors and legal experts can upload their FAQs to the database using a simple form. The database is accessible to everyone and thus offers free and easy legal advice (in context to the COVID-19) to the entire population.JUSTUS is being developed as a chatbot that will guide those seeking advice to their specific answer.","Different resources have been requested:
- data for answers to legal questions exist. Other public sources for legal questions and answers and other useful information would be interesting.
Additional developers for Data Engineering, Frontend and Bot are welcome to contact us.
- I have already a team to develop the ChatBot and finish the plattform. BUT we need Content (= FAQs)! Therefore, every media appearance helps us to draw the attention of legal experts, lawyers and attorneys to read in content! The more content we have, the more central the database becomes for those seeking advice! (JUSTUS.covid-19 edition)",
167,Support & Solidarity,Citizen to Citizen Purchasing Platform,"Risk people must stay at home but needs some help to live in good conditions. Elders, but not only them, need to receive faster the ordered food at home","Too difficult (or impossible) to go grocery for elders, slow service (or big waiting) on actual deliverys from big grocery supermarkets","We need to have a platform to connect drivers and risk people, and organize the logistics between them. Create a selection line of max 200 item (food & drink) where user can select via internet/phone/e-mail + a preparation line which can fasten so the deliveries",,
168,Support & Solidarity,Meeting the needs of the most vulnerable countries,"The population of low-income countries will suffer disproportionately from the current crisis, not only in terms of health but also socially and economically. Needs will explode. Many actors, particularly in the private sector, want to help but are unaware of the challenges, and development aid organisations are too busy responding to needs to enter into dialogue with each of the actors.
International and humanitarian organizations have defined and are in the process of revising a prevention and response plan in support of the affected populations.
It would therefore be useful to have a platform that would allow affected populations, as well as humanitarian and development aid organisations to post their specific requests for assistance, the challenges they are facing so that they can be taken up by actors ready to propose solutions to meet them. Such a platform could thus facilitate a 'match-making' of supply and demand, resulting in a festival of innovations.
Framework prevention and response plan in support of the plan and inter-agency humanitarian appeal.","connecting the needs/demand from the most vulnerable countries, NGOs, international organizations in the form of challenges and the capacities of the private sector to provide solutions",offer a platform that facilitates matchmaking," digital skills, knowledge of the context of poor countries and NGOs, platform competence",Swiss Mission to the United Nations in Geneva
169,Support & Solidarity,FLAG21@Home,"FLAG21 has been forced to temporarily suppress the weekly Saturday morning running trainings given by our migrant coaches due to the confinement. We believe that it is necessary for the physical and mental health of everyone, especially the asylum seekers, to continue to practice physical activity. The supports currently offered by public and private channels (Leman Bleu, Different sports clubs) are often not very accessible for people who do not do sport or do not do much sport and who do not speak French well","The challenge is to create 15-minute sports training videos in the most common languages of asylum seekers. These will be broadcast on a YouTube channel newly created by our association. The challenge is on two levels: 1) technical in order to produce quality videos in a context of confinement, therefore with limited equipment (natel) 2) broadcasting to target populations, some of them not yet aware of our association.","1) technical: we rely on the skills of our volunteers to give advice and a helping hand. 2) for dissemination, social networks, the personal networks of our members, in particular the very committed applicants of the association, the more official channels such as the BIE for the canton of Geneva.","technical expertise in audio-visual and optimal use of youtube, networks outside the canton of geneva to broadcast the videos in other parts of switzerland. financing if the project grows. We have also started to develop a partnership with Tade Abraham who knows FLAG21 and Generali Suisse who is currently presenting a live program on Zoom with Fit@Home.",
170,Trustable Data vs Fake News,Detailed map of cases by region ,"To follow the evolution of Covid-19 cases by Swiss region, and even district or commune.For this it is proposed this: establish a website allowing primary care physicians to register confirmed covid-19 cases daily. And recommend the primary care physicians to register on the site the number of cases of Covid observed daily. Include FMH in the project would be a good option.We can also do approximations ",How to give a local view on the problem? ,"Potential solutions submitted: Establish a tool for a Survey: ""Evolution of Covid cases by Swiss régions"" liased to website allowing primary care physicians to register confirmed covid-19 cases (daily)",Personally I don't have time resources to work out the solution. So this proposal is sent only as suggestion. Perhaps a team may wish to consider and implement this proposal.,
171,Trustable Data vs Fake News,Hard facts & Herd inmunity ,We need to know how heavy the burden on the hospitals accross Switzerland with Covid-19-cases is. We need reliable epidemiological dat and a clear overview of the evolution of COVID-19 Crisis ,"How can we have date reporting, aggregating and analysis of data on hospitalized Covid-19-patients as well of patients in ICUs? How can we make qualitative predictions about an end of the COVID Crisis in relation to the known data on herd inmunity? 
und dadurch qualitative Aussagen über ein Ende der COVID Krise treffen.",,"Daily update on the number of SARS-Cov2 positive patients in Swiss hospitals per canton or district. Herdenimmunität = 1- (1/R0) -> R0= Ansteckungsfaktor. Wenn eine 
Person im Schnitt drei weitere Personen ansteckt -> R0 = 3. Daten 
über Infektionsraten",
172,Trustable Data vs Fake News,CrowdVsCOVID - Sharing publications for medical experts ,"During this global pandemic, unprecedented amounts of information are being generated on social media and in academic research publications. Some of this is useful, a lot is not. The extreme rates at which data is being produced, and the need for professional health experts and epidemiologists to parse this data and extract useful information and results rapidly, is proving to be a major challenge. Our doctors should have quick access to research and news regarding virus treatments","While machine learning algorithms can handle large volumes of data quickly, the reliability of AI results, when dealing with highly context-specific information, can limit their usefulness. Humans need to be in the loop, to deal with the cases that machines simply don’t get right. And this has to be done in a way that ensures human bias is kept to a minimum.  - Develop a virtual assistant to query and search research papers","In CrowdVsCovid, we invite participants to test and improve a brand new open-source Swiss crowdsourcing platform, called Citizen Science Project Builder. This is a project  developed by ETH Zurich, University of Zurich and University of Geneva, and being made available to researchers everywhere, free. Whether you’re a coder, a scientist or a concerned citizen, you can help improve this platform. By the end of the hackathon, with your help, we’ll have learned a lot more about how to extract reliable, actionable and time-sensitive information out of a large set of Covid-19-related data, by combining machine learning and crowdsourcing. - Open data sets https://www.kaggle.com/allen-institute-for-ai/CORD-19-research-challenge","Data needed: Social Media streaming data / open access science publications
Expertise: software developers and interaction designers (for tweaking the platform);  epidemiologists & medical researchers (to validate results); concerned citizens who want to contribute their time and effort.
","Submitted by: University of Geneva -Citizen Cyberlab, Institute of Global Health ETH Zurich and University of Zurich - Citizen Science Centre Zurich. - individual "
173,Trustable Data vs Fake News,Health data mapping,"We need to have a better live view of the population health, citizen’s health conditions and related personal data, which is collected by non-governmental actors and initiatives could be 
leveraged for more informed decision-making and help international coordination bodies to respond more rapidly to pandemics. ",Which governance tools do we need in Switzerland and globally to collect and manage trustworthy health data in the context of pandemics? How can we create a level playing field which enables health data sharing initiatives to reach decision-makers?,"Evaluate the number (extrapolation) of people affected on a map based on anonymous data entered with the agreement of each voluntary person on an mobile app. Self evaluation of symptomes for each user: 1) Agreement of data / explaination message to confirm (IMEI/GPS/other data)
2) The application will ask for values or on a scale--> [fever, body aches (muscle pain), not hungry (sudden loss of smell and loss of taste), cough (dry or oily), difficulty breathing (feeling of tightness or shortness of breath), headache, diarrhea, vomiting, abdominal pain, tiredness] 3) The app will ask for [Age, size, sex, weight] 4) Send (or resend if any update to do) to the datacenter for analysis for graph and maps --> data include Mobile [IMEI and GPS data] to have a unique Identifier and for the localisation. For the IMEI, only the Hash (ie SHA-2) should be send not the full number of IMEI. Another solution could be the set up of a data trust platform defining common standards and guidelines for data processing and sharing. Switzerland could be a pilot for global cooperation to follow. ","Cloud Eng. and app develloper - Developers (Midata Switzerland); Health data standardisation experts 
(WHO; Health Level 7- Switzerland; ITU/WHO Focus Group on AI for health 
(FG-AI4H); Healthcare authorities (Fed. Office of Public Health).",
174,Trustable Data vs Fake News,Web-based tool for outbreak developemement prediction.,"Predictions for the future weeks of how the COVID-19 outbreak will develop in different countries is highly diverse and imprecise, mainly because of the high number of parameters and the scarcity of data.","Simulate as precisely as possible how the outbreak will evolve in Switzerland or in other countries. This could potentially be used by authorities, privates or companies to choose which measures to adopt.","The possible approaches are: partial differential equations of pandemic diffusion, machine learning, recursive estimation, etc.","Large amounts of reliable data (for training/testing) are needed for this project. For this project, the following fields of expertise are welcome: web development, general programming, knowledge of model simulation and analysis, mathematical knowledge about virus diffusion.",
175,Trustable Data vs Fake News,Speak the truth,"Speakers of other languages than DE, FR, IT and EN, and the functionally illiterate (15% of Swiss adults) are cut from official COVID-19 information and therefore particularly vulnerable to the “infodemic” spreading on social media (eg. Whatsapp audio messages)  ",Providers of authoritative COVID-19 information cannot reach a particularly vulnerable part of their target audience,"A simple system where speakers of a language can translate and/or record the information and then directly share it on social media. The message will maintain a ""backlink"" so that it can be verified, and that misuse can be flagged.","We would very much benefit from the support of a provider of authoritative information (eg. FOPH/BAG/OFSP). We also would benefit from coders who could implement the verification/certification mechanism. Also a designer for the overall solution. We _do_ have technical expertise in web-based translation and audio recording solutions, and we do have access to a very large community of volunteer translators (Translators without Borders). ngolimi (https://ngolimi.org) -- we're a brandnew nonprofit association in language technology ",
176,Trustable Data vs Fake News,Mail- und Websiteverifizierung,"Es sind immer mehr Fakemails in Umlauf, welche auf Fakewebsites verlinken","gesucht sind einfache Massnahmen zur Verifizierung offizieller Mails und Websiten: es sollte auf möglichst einfache Weise für jedermann - auch ohne IT Kenntnis - möglich sein, ein Mail/Website als echt zu identifizieren.","PGP basierte Signifizierung und Identifikation? Viel einfachere Tools als heute, for dummies (Button „echt?“ klicken) ",,
177,Trustable Data vs Fake News,Recovery for people and planet throughout the pandemic and its impacts,"The most vulnerable people in all countries are set to be most impacted by the pandemic. Also, the pandemic might have positive impacts in the short term for the environment, but is is far from sure that the recovery lasts, for example through green stimulus and a focus on human needs and well-being.",Especially developing countries and the poor in rich countries do not have much capacity to deal with both the health and the economic impact of the pandemic. How can we craft policy advice or at least a list of principles that can guide policy makers in making the tough decisions that are ahead? A singular economic or health perspective would not be sufficient as we need a systems perspective to demonstrate how all policy areas are connected. This could build on work that has been done on linking different SDGs.,A short but comprehensive list of principles with a clear explanation could be useful ,A group of experts from a wide variety of fields would be useful to craft a list of principles with an explanatory document that reflects a systems perspective.,
178,Trustable Data vs Fake News,ConnectForGood,"Seamlessly connect key actors in the COVID-19 response chain. Transmit the information from the individual person and population to the hospitals and researchers, analyze and disseminate accurate details back to the community. ","Interoperability, timely information sharing and precise data exchange between most important actors in the COVID-19 epidemiological situation.",Data exchange may be done with our InfoMaster information management framework.,"Anyone who wants to collect data, make triage app, maintain connectivity with other actors and simulate the real-world environments where information is transferred to healthcare facility (or authorities) and vice versa. ",
179,Trustable Data vs Fake News,Federal and cantonal digital pandemic plan,"The Confederation and cantons have drawn up their pandemic plans technically independently of each other. They are available from the Confederation, for example, as PDF files, but not as raw data. Similarities and differences between the individual pandemic plans can therefore only be evaluated by reading through them. This makes intercantonal cooperation more difficult.","The pandemic plans are to be structured in as common a manner as possible and hierarchically represented in a database in several layers (Confederation - cantons - optionally others). This should avoid duplication, so that a super ordinate layer (canton) includes a part of the plan of the layer below (Confederation) if it is identical. On the one hand, this should be covered in a (password-protected) data entry area. On the other hand, there should be a public area in which, on the one hand, the entire pandemic plan can be studied and, on the other hand, differences between a canton and the Confederation or between individual cantons can be shown.","A web platform is to be created based on an open source software solution. The software will be designed in such a way that other similar federal needs can also be covered, such as data protection regulations for example.","On the one hand, it needs developers who write the software together. On the other hand, it needs one or more cantonal managers who are willing to enter their pandemic plan on the platform. In addition, the 128-page federal pandemic plan must be entered as a basis.",
180,Trustable Data vs Fake News,FAST2GOV - Notification Portal - Design a BAG-Datawarehouse,"At present, the doctors pass on the number of newly infected corona patients to the cantonal authorities by phone/fax every evening. From there they are forwarded to the federal government. This creates daily time delay, substantial effort, outdated figures and is error-prone. Government needs correct real-time data to make good decisions to fight the spread of the virus, the people need to see the correct data to understand and support the sanctions taken by the government. Different values are published by different authorities, people, economy, media feel unsure about what to believe. Fast change to current systems is impossible with 26 cantons. ","Different values are published by different authorities, people, economy, media feel unsure about what to believe. Fast change to current systems is impossible with 26 cantons. This leads to a daily backlog and outdated figures.  How can we create a high quality Swiss-wide Covid-DB?","Potential solutions: - A cloud-based solution is needed that allows doctors to enter their data electronically and then make it immediately available to the cantons and the Confederation. - Provide a web portal for initial reporting of infections by doctors and 
hospitals. Anonymous data is persisted for making accurate real-time statistics about the current situation. The portal provides the filled in declaration form for further processing according to the current workflow. - (Next solution is from Bram Stieltjes, please contact for more info): A Data catalogue was created and can be expanded, central DB and interaction protocols can be designed","Database architect, Java developer, ux designer, PO, SM - Fed. Office of Public Health as center of coordination for all healthcare organizations (doctors, hospital, labs, Kantonsärzte) + Companies like Swiss Post to provide authentication and authorization infrastructure + A DevOps team. Bram has test data-sets, we could anonymize them for test purposes",
181,Trustable Data vs Fake News,Covidfact,"Covifact.ch is a chatbot enbaling the swiss population to recieve latest information, news and data on the coronvirus. During the hackathon we will test our first version which include a quick checkup pre-screen allowing swiss poulation to know if they have or not the Covid -19 and what are the recommended steps. ","Swiss population have too many information sources, complex dashboard and do not easily access a quick checkup to pre.screen if they have or not the Covid-19. ","We would like to provide them a all in one trustable chatbot where they will receive Covid-19 information, news, trends and any other how to work form home tips ",Our team of 5 people would need a UI & UX person,
182,Trustable Data vs Fake News,Science and Facts for the Future,The current challenge shows that we're not giving science a  big enough platform in our society. ,"Science already warned us of several different things in the past but was ignored by the general population and political movements. Often there is also a political interpretation of scientific data, which should be avoided.",Now there should be used the drive to promote the outcome of research and make it more accessible for everyone to prevent future crisis. It could be a platform or just create a different social structure (Scientists instead of Politics?),"Scientists and Politicians, Journalists and Marketing Geniuses to package hard to understand and interpretable science into ""everyday"" language.",
183,Trustable Data vs Fake News,Trust your medications,"Chloroquine? Ibuprofen? News and fake news regarding drugs used in COVID-19 currently make the media headlines. Healthcare professionals, patients and citizens need to get access to trusted information on drugs efficacy and safety, as well as up-to-date treatment guidelines and  information on current clinical studies conducted worldwide. ","Provide a Swiss online updated platform (or app')  with trusted information on drugs efficacy and safety in COVID-19, patients Q/A and evidence from current clinical studies for healthcare professionals. ",,,
184,Trustable Data vs Fake News,Granular Maps predicting COVID-19 risk,"Most of the times, we are lagging behind regarding our response to the pandemic. Among others, because the outbreaks and hotspots are still too unpredictable. ","Communities need an explainable, granular and dynamic view of risk to navigate these
times of extreme uncertainty.","The company SparkBeyond’s first solution dedicated to COVID-19 is a dynamic heat map predicting places where a COVID-19 carrier is likely to pass, at the resolution of individual buildings. They would be willing to bring this concept to Switzerland too. ","Federal Administration, Politicians, ""Doer"" (the concept is there, we just need to make it happen), Allrounder",
